rating,sentiment,cleaned_comment,comment
5,1,عالی گارانتی عالی تر حداکثر توان خروجی 22.5 وات هست زمان خود پاوربانک آداپتور 20 وات حدود 6 سایزش یکم مشخصا درج‌شده‌بزرگتره 14 7 سانت کیفیت ساخت عالیه ساخت چین کوتاه تایپ سی همراهشه نیست متاسفانه,"عالی و با گارانتی عالی تر
حداکثر توان خروجی ۲۲.۵ وات هستش،
زمان شارژ خود پاوربانک با آداپتور ۲۰ وات حدود ۶ ساعت،
سایزش یکم از مشخصات درج شده بزرگتره
۱۴ در ۷ سانت

کیفیت ساختش عالیه
ساخت چین
یه کابل کوتاه تایپ سی همراهشه که فست شارژ نیست متاسفانه"
4,1,همراه خودش سرعت خیلی پائینه فکر نیست ولی خودم سرعت خیلی عالیه بسیار کار راه اندازه اما شدن خودش خیلی کنده شارژر فابریک s10 سامسونگ کلا روند طولانی داره طی شدن شارژر خیلی داغ شد نباید اجازه داد پاوربانک خیلی خالی بشه شارژر وصل وگرنه ممکنه شارژر صدمه برسه وزن توی دست یک مقدار سنگینه خیلی مناسب حمل‌ونقل نیست شاید بیرون بردن پاوربانک ...,با کابل همراه خودش سرعت شارژش خیلی پائینه. فکر کنم کابلش فست شارژ نیست. ولی با کابل فست شارژ خودم سرعت شارژش خیلی عالیه و بسیار کار راه اندازه. اما شارژ شدن خودش خیلی کنده. با شارژر فابریک فست شارژ گوشی s10 سامسونگ شارژش کردم و کلا روند شارژ طولانی داره. طی شارژ شدنش هم شارژر گوشی خیلی داغ شد. نباید اجازه داد پاوربانک خیلی خالی بشه تا به شارژر وصلش کنیم، وگرنه ممکنه به شارژر صدمه برسه. وزنش هم توی دست یک مقدار سنگینه و خیلی مناسب حمل و نقل نیست. شاید برای بیرون بردن پاوربانک  ...
4,1,پاوربانک اکستروم را دیجی‌کالا قیمت 850 تومن ( تخفیف ) مشخصا روی محصول : باتری 20000 میلی‌آمپر خروجی 22.5 وات ورودی 18 وات تست به‌جا میلی‌آمپر واحد وات‌ساعت استفاده روی پاوربانک ظرفیت 74 وات‌ساعت بازدهی حداقل 60٪ درج‌شده‌، یعنی باید حدود 44 وات‌ساعت خروجی داشته باشد تستر Keweisi شارژر 33 وات انکر شروع دستگاه ولتاژ 12 ولت جریان 1.5 آمپر شد مطابق مشخصات‌بود سپس کامل لود تست تخلیه ...,"من پاوربانک اکستروم را از دیجی‌کالا با قیمت ۸۵۰ تومن (با تخفیف) خریدم.

مشخصات روی محصول:
باتری ۲۰۰۰۰ میلی‌آمپر، خروجی ۲۲.۵ وات، ورودی ۱۸ وات.

برای تست به‌جای میلی‌آمپر، از واحد وات‌ساعت استفاده کردم. روی پاوربانک ظرفیت ۷۴ وات‌ساعت و بازدهی حداقل ۶۰٪ درج شده، یعنی باید حدود ۴۴ وات‌ساعت خروجی داشته باشد.

با تستر Keweisi و شارژر ۳۳ وات انکر شارژ کردم. در شروع، دستگاه با ولتاژ ۱۲ ولت و جریان ۱.۵ آمپر شارژ شد که مطابق مشخصات بود. سپس بعد از شارژ کامل، با لود تست تخلیه ان ..."
5,1,پاوربانک قیمت 1300 دیروز امروز دست رسید الان تست تایپ سی برند خوب 22 وات خروجی میده ظرفیت نظر نزدیک میاد فقط حتما قبل استفاده بار کامل شارژر استفاده گارانتی بروز‌بود طبق چیز روی جعبه استفاده معمولی روی کوشی‌ها تست خوب‌بود ولی نظر داشته باشید برند خیلی گرون خارجی طبعیتا قابل مقایسه نیست دیگه توجه قیمت انتظارات آورده میکنه,این پاوربانک رو با قیمت 1300 خریدم دیروز، امروزم به دستم رسید الان تستش کردم با کابل تایپ سی برند خوب، 22 وات رو خروجی میده ظرفیتش هم به نظر نزدیک میاد. فقط حتما قبل از استفاده یه بار کامل با یه شارژر فست شارژش کنید بعد استفاده کنید گارانتیش هم بروز بود طبق چیزی که روی جعبه خورده بود و برای یه استفاده معمولی روی کوشی ها فست شارژ تست کردم خوب بود ولی اینم در نظر داشته باشید با برند های خیلی گرون و خارجی طبعیتا قابل مقایسه نیست دیگه با توجه به قیمتش انتظارات رو بر آورده میکنه
5,1,خوش کیفیت خوب‌بود حتما تایپ سی کردن وصل کردن استفاده سریع تر عمل کنه خلاف پاوربانک دیگه‌ای زیاد داغ نمیکنه خود گرم نمیشه موقع,خوش کیفیت و خوب بود حتما از تایپ سی برای شارژ کردنش و وصل کردن به گوشی استفاده کنید که سریع تر عمل کنه بر خلاف پاوربانک دیگه ای که خریده بود زیاد داغ نمیکنه خود گوشی هم گرم نمیشه موقع شارژ
5,1,وزن 400 گرمه هست اما وقتی pd usb تومان استفاده غیر فعال میشه موقع دست رسید پلمپ نبود اما کاملا دست نخورده 100 درصد,وزن 400 گرمه با کابل فست فست شارژ هستش اما وقتی از pd و usb تومان استفاده میکنید فست غیر فعال میشه موقعی که دستم رسید پلمپ نبود اما کاملا دست نخورده و 100 درصد شارژ داشت
5,1,یک هفته استفاده ؛ تخفیف عالیه 4 بار می‌کنه پر شدن شب صبح بذارید بشه شیائومی نو 13 فوری می‌کنه پنکه مه پاش دو استفاده فقط 3 % کم کرد واقعا عالیه ..,بعد از یک هفته استفاده ؛ در تخفیف گرفتم و عالیه ، ۴ بار گوشی رو شارژ می‌کنه ، برای پر شدن شب تا صبح بذارید شارژ بشه ، گوشی شیائومی نوت ۱۳ رو شارژ فوری می‌کنه ، برای پنکه مه پاش بعد دو ساعت استفاده فقط 3% شارژ کم کرد ، واقعاً عالیه..
4,1,اول 100 100 داره 80 درصد میرسه خاموش میشه باید 100 شد تقریبا 5000 میلی آمپر 3 بار کامل می‌کنه خودش خیلی دیر میشه دداخل هیچ درد نمیخوره دستگاه پلمپ نبود ولی مشکل,اولش ۱۰۰ در ۱۰۰ شارژ داره که به ۸۰ درصد میرسه خاموش میشه بعدش باید بزنی به شارژ ۱۰۰ که شد تقریبا گوشی ۵۰۰۰ میلی آمپر رو ۳ بار کامل شارژ می‌کنه خودش خیلی دیر شارژ میشه کابل شارژ دداخل به هیچ دردی نمیخوره دستگاه پلمپ نبود ولی مشکلی هم نداشت
4,1,تخفیف قیمت نسبت بازار بسیار صرفه‌بود کیفیت ساخت خوبه پلمپ نبود ! سیم جعبه هست یک راهنما استفاده داره خسه خروجی داره دو یو اس معمول یک مین اگر یک خروجی استفاده بشه توربو سریع بهتون میده اگر بشه دو خروجی معمولی میده وقتی دست رسید 100 درصد شارژ‌بود حال دوبار گوشیمو باتری 5000 داره حدود 47 درصد داره,"من تو تخفیف خریدم.
قیمتش به نسبت کالاهای بازار بسیار به صرفه بود.
کیفیت ساخت کالا خوبه.👌🏻
کالا پلمپ نبود!🤔
یه سیم تو جعبه هست. و یک راهنمای استفاده داره.
خسه خروجی شارژ داره دو تا یو است بی معمولی و یک مینی.
اگر از یک خروجی استفاده بشه شارژ توربو و سریع بهتون میده. و اگر بشه دو تا خروجی شارژ معمولی میده.
وقتی دستم رسید ۱۰۰ درصد شارژ بود من تا به حال دوبار باهاش گوشیمو که باتری ۵۰۰۰ داره شارژ کردم و حدود ۴۷ درصد شارژ داره."
5,1,پاوربانک خوبیه یکم سنگینه ولی خب 20 هزاره بهتره بذاریش توی گیف دست تقریبا سه بار نصف کرد سرعت خیلی بالاست خروجی 20 وات میده جنس بنده‌اش خوبه 2027 گارانتی داره نسبت قیمت خیلی پاوربانک خوبیه,پاوربانک خوبیه. یکم سنگینه ولی خب ۲۰ هزاره. بهتره بذاریش توی گیف تا بگیری دستت. گوشیم رو تقریبا سه بار و نصفی شارژ کرد. سرعتش خیلی بالاست و خروجی ۲۰ وات میده. جنس بنده‌اش خوبه. تا ۲۰۲۷ هم گارانتی داره. نسبت به قیمتش خیلی پاوربانک خوبیه.
4,1,پلمپ نبود انگار فقط اس ولی نو‌بود شارژر 18 وات هست سوپر عمل کرد ولی 33 وات فقط 100 بدستم رسید نمره قبولی مخصوصا قیمت شگفت‌انگیز,کالا پلمپ نبود انگار فقط است شده بود ولی نو بود ، برای گوشی که شارژر ۱۸ واتی هست سوپر فست شارژ عمل کرد ولی برای گوشی ۳۳ واتی فقط فست شارژ ، کالا ۱۰۰ شارژ بدستم رسید و نمره قبولی گرفت مخصوصاً در قیمت شگفت انگیز
5,1,بشدت جنس خوبی داره الکی نیست سرعت خوبه میتونه 5000میلی امپرو 90دقیقه پرکنه ولی انگار محصول یباراز جعبه دراومده چسب پلمپ جعبش پاره,"بشدت جنس خوبی داره الکی نیست
سرعت شارژش هم خوبه میتونه ۵۰۰۰میلی امپرو تو ۹۰دقیقه پرکنه
ولی انگار محصول یباراز جعبه دراومده بود
هم چسب پلمپ نداشت هم جعبش پاره بود"
4,1,اول نمی‌دونم چرا قاطی مرجوع ولی مسافرت خیلی درد خورد استفاده مفید همین نمایشگر میزان داره خودش مزیت بزرگیه ابعادش خوب خوش دسته !,اولش نمی‌دونم چرا قاطی کرده بود و میخواستم مرجوع کنم ولی تو مسافرت خیلی به دردم خورد و استفاده مفیدی ازش کردم، همین که نمایشگر میزان شارژ داره خودش مزیت بزرگیه، ابعادش هم خوب و خوش دسته!
4,1,بسیار قویه ولی ایراد داره بسیار دیر شارپ میکنه بعنوان مثال حدود نیم طول 20 % را شارپ کرد اشتباه,بسیار قویه ولی ایرادی که داره بسیار دیر گوشی رو شارپ میکنه بعنوان مثال حدود نیم ساعت طول کشید تا 20% گوشی را شارپ کرد. شایدم من اشتباه میکنم
5,1,قانک جنس خوبی داره مشخصه کیفیته گارلنتی ژانویه 2027 داره فقط پورت usb - a دوتا 18 وات هستن فقط تایپ سی 22.5 ته درنظر بگیرین,پاور قانک جنس خوبی داره و مشخصه با کیفیته، گارلنتی هم تا ژانویه ۲۰۲۷ داره. فقط پورت های usb-a دوتا هم ۱۸ وات هستن فقط تایپ سی ۲۲.۵ واته. اینم درنظر بگیرین
5,1,سرعت خوب کیفیت ساخت خوب گارانتی داره فقط چند بار باید دشارژ بشه باطری کالیبره بشه کیفیت همراه خوب نیست,"سرعت شارژ خوب
کیفیت ساخت خوب
گارانتی هم داره
فقط چند بار باید شارژ و دشارژ بشه که باطریش کالیبره بشه
کیفیت کابل همراهش خوب نیست"
4,1,اصلا پیشنهاد خالی میکنه خاموش میشه 2 ظرفیت 4000 زور میرسونه سری اول 60درصد خالی کرد حالا روی 40 یا 30 درصد خالی میکنه ارزش خرید هیچ وجه نداره ضمن دستگاه پلمپ نبود ..,اصلا پیشنهاد نمیکنم بخرید شارژ خالی میکنه و خاموش میشه برای 2 تا گوشی ظرفیت 4000 به زور میرسونه سری اول رو 60درصد خالی کرد حالا هم روی 40 یا 30 درصد خالی میکنه.  ارزش خرید به هیچ وجه نداره.  در ضمن  دستگاه پلمپ نبود..
1,0,وقتی رسید دست 100٪‌بود 84 ٪ شد یهو خالی شد دوم خودم توی 99٪ نیم طول 100٪ بشه سری تقرییا 50٪ یهو 0 شد همراه اصلا کاربرد نداره کاری شگفت‌انگیز 799 هزار تومن اگه 3 بار تخلیه درست نشه مرجوع وزن 410 گرمه آخرین بار 42٪ مثله ثانیه شمار شروع خالی کردن کرد ویرایش نهایی مرجوع,وقتی رسید دستم شارژ ۱۰۰٪ بود و شارژ ۸۴ ٪ شد یهو شارژ خالی شد و با دوم هم که خودم شارژ کردم توی ۹۹٪ نیم ساعت طول کشید ۱۰۰٪ بشه و این سری تقرییا ۵۰٪ یهو ۰ شد. کابل همراهش اصلا کاربرد نداره کاری ندارم و تو شگفت انگیز ۷۹۹ هزار تومن خریدم ، اگه با ۳ بار شارژ و تخلیه شارژ درست نشه مرجوع میکنم وزنش هم ۴۱۰ گرمه ، آخرین بار هم از ۴۲٪ مثله ثانیه شمار شروع به خالی کردن شارژ کرد . ویرایش نهایی مرجوع کردم.
5,1,توجه قیمت واقعا عالی شارژه زود میشه حدود 5 کامل مثل خود شارژر سامسونگ البته زود میکنه 5000 میلی آمپر 3 بار کامل یک بار 30 ٪ میکنه پس حدود 20000 میلی آمپر هست,"با توجه به قیمت واقعا عالی
فست شارژه
زود شارژ میشه حدود ۵ ساعت کامل
گوشی من رو مثل خود شارژر گوشی سامسونگ البته با کابل فست شارژ زود شارژ میکنه
گوشی ۵۰۰۰ میلی آمپر رو ۳ بار کامل و یک بار ۳۰ ٪ شارژ میکنه پس حدود ۲۰۰۰۰ میلی آمپر هست"
4,1,بانک خوب وقیمتش زمان تخفیف عالی‌بود دو سه بار موبایل میکنه البته دائم باید استفاده والا صورت کم استفاده کردن قدرت کم میشه,پاور بانک خوب وقیمتش در زمان تخفیف عالی بود تا دو سه بار موبایل شارژ میکنه البته دائم باید ازش استفاده کنید والا در صورت کم استفاده کردن قدرت شارژش کم میشه
5,1,آکبند تمیز دست رسید باتشکر دی جی,آکبند و تمیز به دستم رسید باتشکر از دی جی کالا
5,1,خوب کار راه اندازه خصوصا تخفیف,خوب و کار راه اندازه . خصوصا تو تخفیف
4,1,تنها مشکل وزن هست نمایش درصد واقعی هست خوب نگه می‌داره تخفیف ویژه صرفه اقتصادی سرعت بقیه دستگاه خوبه زیاد بودن پورت مزیت هست,"تنها مشکلش وزنش هست نمایش درصد شارژش واقعی هست و  شارژ رو خوب نگه می داره من در تخفیف ویژه گرفتم که صرفه اقتصادی داشت
سرعت شارژ بقیه دستگاه ها هم خوبه زیاد بودن پورت ها هم از مزیت هاش هست"
5,1,خیلی زود ارسال شد تحویل داده شد کیفیت خوبه,خیلی زود ارسال شد و تحویل داده شد کیفیتش هم خوبه
4,1,سلام خدای ظاهر خوبی داره اول خوب‌بود ولی زمان مشخص میکنه ؟,با سلام خدایش ظاهر خوبی داره شارژ اولیشم خوب بود،ولی زمان مشخص میکنه؟
5,1,تخفیف ویژه کاملا ارزش خرید,در تخفیف ویژه کاملا ارزش خرید دارد
1,0,درود باز‌شده‌واستفاده مرجوع وچون کسی بار اول‌بود منتظر دریافت کالا‌بود چند بار تعریف شک راضی خرید شد وا نتیجه !!!! ویرایش مامور محترم پاوربانک راتحویل ومبلغ را برگشت بسیار ممنون,"درود
کالا باز شده واستفاده شده بود مرجوع کردم وچون برای کسی  بار اول بود خریدم ایشان هم منتظر دریافت کالا بود چند بار از دیجی کالا تعریف کردم تا با شک راضی به خرید شد واین هم نتیجه!!!!
ویرایش مامور محترم دیجی کالا پاوربانک راتحویل گرفت ومبلغ را برگشت دادند بسیار ممنونم"
4,1,کیفیت خوبه ولی باید خودت سرعت بالا تهیه کنی,کیفیتش خوبه ولی کابلش رو باید خودت سرعت بالا تهیه کنی
2,0,70 درصد صورت عادی عمل ناگاه سرعت تخلیه نظر بعضی باطری عمل‌کرد خود را ازدست کل خرید رضایت بخشی نبود توصیه خرید برند دیگری,"تا 70 درصد  به صورت عادی عمل می کند و بعد به ناگاه به سرعت تخلیه می شود، به نظر بعضی از باطریها عملکرد خود را ازدست داده اند. 
در کل خرید رضایت بخشی نبود و توصیه به خرید از برند دیگری دارم ."
5,1,باسلام تشکر بسیار عالی قدرت بالا خیلی راضی,باسلام تشکر  بسیار عالی قدرت شارژ بالا من که خیلی راضیم
5,1,عالیه واقعا خوبیه,عالیه واقعا پاور خوبیه و
1,0,اولا کارتون پلمپش مثل اینکه قبلا باز خود بانک 84 % اومد دفه صفر شد خاموش شد دوباره زدمش صفر شروع شد شدن همراهشم بی‌کیفیته نیست باید البته اگه دلیل خرابی مرجوعش,اولاً کارتونش پلمپش مثل اینکه قبلاً باز شده بود و خود پاور بانک رو ۸۴ % که اومد یه دفه صفر شد خاموش شد و دوباره که زدمش شارژ از صفر شروع شد به شارژ شدن ، کابل همراهشم بی کیفیته و فست نیست باید یه کابل فست بگیری البته اگه به دلیل خرابی مرجوعش نکنی
1,0,توو شگفت‌انگیز توجه قیمت مناسب نظر میومد بازه زمانی مناسب ارسال شد ولی متاسفانه بانک ظاهرا استفاده پلمپ باز‌بود خط خش روی بدنه روی 100 درصد‌بود پس یکبار استفاده 70 درصد رسید 70 سرعت زیاد کم شد رسید 30 درصد خاموش شد توجه شرایط مرجوع ف وشنده دیجیکالا‌بود انتطار لطفا قبل فروش لحاظ کیفیت سلامت پلمپ بودن محصولات دقت بررسی بیشتر بشه,"توو شگفت انگیز خریدم. با توجه به قیمت مناسب به نظر میومد.
در بازه زمانی مناسب ارسال شد. ولی متاسفانه پاور بانک ظاهرا استفاده شده بود. هم پلمپ باز بود و هم خط و خش روی بدنه داشت.
شارژ پاور روی ۱۰۰ درصد بود که پس از یکبار استفاده به ۷۰ درصد رسید. بعد از ۷۰ با سرعت زیاد شارژ کم شد و با رسید به ۳۰ درصد خاموش شد.
با توجه به این شرایط مرجوع کردم. ف وشنده دیجیکالا بود و انتطار دارم لطفا قبل از فروش از لحاظ کیفیت و سلامت و پلمپ بودن محصولات دقت و بررسی بیشتری بشه."
1,0,واقعا ضعیفه زیباس ولی گول زننده یهو 70میشه صفر یک هفته فقط شارژشو خالی پر شاید درست شه ولی زهی خیال باطل باید مرجوع,"واقعا ضعیفه، زیباس ولی گول زننده، شارژش یهو از 70میشه صفر
یک هفته فقط شارژشو خالی میکردم پر میکردم تا شاید درست شه ولی زهی خیال باطل، باید مرجوع کنم نخرید"
5,1,راضی,از خریدم راضیم
4,1,ایفون 13 6 بار ظرفیت اسم 15 هزاره ودقت دفعه اول بزارید کامل بشه 100 نشون الان مشکل غیر بسته‌بندی افتضاح‌بود اصلا قابل قبول نبود اصلا پلمپ نبود,من ایفون ۱۳ رو ۶ بار باهاش شارژ کردم ظرفیت اسمیش ۱۵ هزاره ودقت کنید دفعه اول که میزنید به شارژ بزارید کامل شارژ بشه و ۱۰۰ رو نشون بده تا الان که من مشکلی ندیدیم غیر از بسته بندی کالا که افتضاح بود و اصلا قابل قبول نبود و کالا اصلا پلمپ نبود
5,1,باکیفیت خوب می‌کنه مناسبه خونه,باکیفیت و خوب شارژ می کنه مناسبه برای هر خونه
4,1,سنگینه ولی عالی,سنگینه ولی عالی
5,1,واقعا عالی تخفیف بخوره دوباره,"واقعا عالی
تخفیف بخوره دوباره میگیرم"
4,1,کل بد نیست قیمت شگفت انگیزش 800‌بود میارزه,در کل بد نیست به قیمت شگفت انگیزش که ۸۰۰ بود میارزه
5,1,بسیار عالی یزره سنگینه ولی خیلی خوبه ولی قدرت خوبه,بسیار عالی یزره سنگینه ولی خیلی خوبه ولی قدرتش خوبه
5,1,عالی‌بود ممنون,عالی بود ممنون
5,1,پر‌بود فکر 20000واقعی باشه فقط وزن زیاده تخفیف ارزش چند باز استفاده خوب,شارژش  پر بود ،فکر میکنم 20000واقعی باشه،فقط وزنش زیاده تو تخفیف دیجی کالا ارزش داشت.چند باز استفاده کردیم خوب بود
1,0,جنس کارکرده فرستادن بسته‌بندی محصول باز‌بود اطلاعات روی ضمانت نامه کم رنگ پاک خود بانک خط خش داخل جعبه نیست ولی خود بانک شارژه مورد ظرفیت محصول تست معمولی 12000 بیشتر نیست باز تست نهایی نظر ویرایش نظر توجه وزن سایز بزرگ ظرفیت خیلی پایین تر 20000 حتی قیمت 800 تومان خیلی ارزش خرید نداره,"جنس کارکرده فرستادن 
هم بسته بندی محصول باز بود هم اطلاعات روی ضمانت نامه کم رنگ و پاک شده بود هم خود پاور بانک خط و خش داشت 
کابل داخل جعبه هم فست شارژ نیست ولی خود پاور بانک فست شارژه
در مورد ظرفیت محصول با یه تست معمولی که گرفتم 12000 بیشتر نیست،باز تست نهایی گرفتم نظرم رو ویرایش می کنم
به نظرم با توجه به وزن و سایز بزرگ و ظرفیت خیلی پایین تر از 20000 حتی با قیمت 800 تومان هم خیلی ارزش خرید نداره"
5,1,دو ظاهرشون خوب‌بود گارانتیشون روز درحد تست قابلیت سریع دو خوب‌بود باید دید نظر ظرفیت عمل‌کرد بلندمدت چطورن,دو تا گرفتم که ظاهرشون خوب بود و گارانتیشون هم به روز و درحد تست قابلیت شارژ سریع هر دو خوب بود باید دید از نظر ظرفیت و عملکرد بلندمدت چطورن
1,0,سلام پلمپی وجود نداره تیپ سی دکور روشه کار نمیکنه خدا بخیر کنه بررسی بیشتر آمپر مقادیر چقدر واقعی هستن,"سلام
پلمپی وجود نداره
کابل تیپ سی هم دکوری روشه و کار نمیکنه
خدا بخیر کنه
تا بررسی بیشتر و آمپر کشی ببینم مقادیر چقدر واقعی هستن"
5,1,بانک را هرچند هنوز عملیاتی ولی عنایت مشخصا فنی قابل توجه قیمت بسیار مناسب پنج ستاره را دریافت کرد,این پاور بانک را هرچند هنوز عملیاتی نکرده‌ام ولی با عنایت به مشخصات فنی قابل توجه و قیمت بسیار مناسب آن، پنج ستاره را از من دریافت کرد.
4,1,سنگینه ولی توی شگفت‌انگیز قیمت مناسبه,سنگینه ولی توی شگفت انگیز قیمتش مناسبه
5,1,خیلی خوب سریع,خیلی خوب و شارژ سریع
4,1,نسبت قیمت اقتصادی اس مطالب خواندنی,به نسبت قیمت اقتصادی است با مطالب خواندنی
5,1,نظر عالیه,به نظرم عالیه
5,1,عالی,عالی بود
2,0,خوب نیست گوش زور نمی‌رسه فولوشارز کنه,خوب نیست و یه گوش زورش نمی رسه فولوشارز کنه
1,0,کااای ارسالی قبلا باز کار خالی مشخصا قبلا مرجوع‌شده‌دوباره شگفت‌انگیز ارزون گذاشتن خود کیفیت خوبه,کااای ارسالی قبلا باز شده بود.کابلش کار نمیکرد و شارژ خالی میکرد.مشخصا قبلا فروختن مرجوع شده دوباره تو شگفت انگیز ارزون گذاشتن.خود کالا با کیفیت و خوبه
4,1,خوبه کار را ه امدازه,خوبه کار را ه امدازه
5,1,درکل خوبه سالم تمیز دست رسید تنها مشکل ک داره سنگینی هست,"درکل خوبه سالم و تمیز به دستم رسید 
تنها مشکلی ک داره سنگینی هست"
5,1,خوب,خوب بود
5,1,خوبه,خوبه
4,1,نسبت مبلغ خوبه,نسبت به مبلغش خوبه
1,0,پاوربانک 100 درصد 85 درصد درست‌بود یهو شد صفر وخاموش دوباره پاوربانک 25 درصد نسبتا بد نبود ولی خب اینجوری قابل اعتماد نیست ارزش نداره شاید مرجوعی,پاوربانک ۱۰۰ درصد شارژ داشت تا ۸۵ درصد درست بود یهو شد صفر وخاموش دوباره شارژ کردم پاوربانک  تا ۲۵ درصد و نسبتا بد نبود ولی خب اینجوری قابل اعتماد نیست و ارزش نداره شاید مرجوعی بزنم .
4,1,خوب کاربردی,خوب و کاربردی بود
4,1,نسبت قیمت خوبه,نسبت به قیمت خوبه
4,1,وقتی استفاده بانک 100 درصد 50 درصد 2 بار گوشیمو کرد ولی اینکه 50 رسید یهو صفر شد,وقتی استفاده کردم از پاور بانک از ۱۰۰ درصد تا ۵۰ درصد ۲ بار گوشیمو شارژ کرد ولی  بعد اینکه به ۵۰ رسید یهو صفر شد .
5,1,خوب خوب خوب,خوب و خوب و خوب
4,1,عالی مقرون بصرفه,عالی و مقرون بصرفه
2,0,یهو درصد کم می‌کنه صفر میشه,یهو درصد کم می‌کنه و صفر میشه
4,1,تشکر تخفیف خوبه فقط نیست,با تشکر از دیجی کالا من تو تخفیف گرفتم خوبه فقط فست شارژ نیست
